SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
253,6. Category 6: Financial sponsorship,6,Candidate,"Cardiff West Labour Party – £8,849.63"
253,6. Category 6: Financial sponsorship,6,Candidate,"Unite the Union - £2,053.34"
253,6. Category 6: Financial sponsorship,6,Candidate,"UNISON - £1,000"
253,6. Category 6: Financial sponsorship,6,Candidate,ASLEF - £500
253,6. Category 6: Financial sponsorship,6,Candidate,Communication Workers Union - £100
253,11. Record of membership of societies,11,NA,Glamorgan County Cricket Club
253,11. Record of membership of societies,11,NA,Pontcanna Permanent Allotments Society
253,11. Record of membership of societies,11,NA,Unite the Union
253,11. Record of membership of societies,11,NA,UNISON
253,11. Record of membership of societies,11,NA,"Labour Land Campaign, Action in Caerau and Ely"
253,11. Record of membership of societies,11,NA,Cardiff City Supports’ Trust
253,11. Record of membership of societies,11,NA,LGBT+ Labour (solidarity member)
253,12. Record of the employment of family members,12,Name: Laura Murton,Capacity in which employed: Labour Group Policy and Co-ordination Officer
253,12. Record of the employment of family members,12,Family Member of: Hannah Blythyn MS,Date which employment commenced: 1 August 2018
253,12. Record of the employment of family members,12,Relationship to MS: Spouse,Hours contracted to work: 37
