SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
154,6. Category 6: Financial sponsorship,6,Candidate,All 2021 Senedd election expenses paid by Wrexham Constituency Labour Party.
154,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Vice-President - Llangollen International Musical Eisteddfod
154,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,"Patron - Dynamic, Wrexham"
154,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,"Patron - The Venture, Wrexham"
154,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member - Wrexham Supporters Trust (Ceased)
154,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Honorary Member - Wrexham Rotary Club
154,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,"Patron - Friends of Pedal Power, Wrexham"
154,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Patron - Wrexham Youth and Play Partnership
154,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,"Patron - Motiv8, Wrexham (Ceased)"
154,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,"Patron - Dragonsong, Wrexham"
154,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Friend of the Vic Youth Group
154,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Patron - Erlas Victorian Walled Garden
154,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Vice-President - Froncysyllte Male Voice Choir
154,11. Record of membership of societies,11,NA,Vice-President - Cantorion Rhos (Ceased)
