SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
225,"2. Category 2: Remunerated employment, office, profession etc",2,Partner,Member of Parliament for Cardiff North (ceased)
225,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Ticket and hospitality for self and guest at the Wales v. Estonia match on 8 September from the Football Association of Wales
225,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Hospitality at Wales v. Australia rugby international from S4C
225,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Hospitality at Wales v France Six Nations game from Thales
225,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Invitation to BAFTA Cymru awards evening from Channel Four
225,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Hospitality for Member and guest at Welsh National race meeting from the British Horseracing Authority
225,6. Category 6: Financial sponsorship,6,Candidate,All my election expenses were met by Blaenau Gwent Constituency Labour Party.
225,8. Category 8: Land and property,8,Member,"Rental property, Aberystwyth (ceased)"
225,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Member of the Wales Board of the Reserve Forces’ and Cadets’ Association for Wales
225,11. Record of membership of societies,11,NA,President - Beaufort Male Choir
